Date,Transaction,Purchases,Payments/Interests,account
2023-12-27,"ADA*VENDING MACHINE- C MARKHAM, ON",2.5,,credit
2023-12-27,"ADA*VENDING MACHINE- C MARKHAM, ON",3.0,,credit
2023-12-27,"ADA*VENDING MACHINE- C MARKHAM, ON",2.75,,credit
2023-12-27,"ADA*VENDING MACHINE- C MARKHAM, ON",2.75,,credit
2023-12-22,"WAL-MART SUPERCENTER#1056 OSHAWA, ON",107.31,,credit
2023-12-20,"TIM HORTONS #1942 OSHAWA, ON",12.92,,credit
2023-12-20,"PICOCOOLER MISSISSAUGA, ON",8.15,,credit
2023-12-20,"UBER CANADA/UBERTRIP TORONTO, ON",14.19,,credit
2023-12-20,"FIRST CHOICE HAIRCUTTERS# OSHAWA, ON",29.38,,credit
2023-12-15,"UBER CANADA/UBEREATS TORONTO, ON",3.43,,credit
2023-12-13,PAYMENT THANK YOU/PAIEMEN T MERCI,,400.0,credit
2023-12-12,PAYMENT THANK YOU/PAIEMEN T MERCI,,74.14,credit
2023-12-11,"UBER CANADA/UBERTRIP TORONTO, ON",17.28,,credit
2023-12-11,"FIDO Mobile ******8481 888-481-3436, ON",37.81,,credit
2023-12-08,"UBER CANADA/UBEREATS TORONTO, ON",15.06,,credit
2023-12-05,"Uniqlo Canada Inc. Toronto, ON",106.67,,credit
2023-12-04,PAYMENT THANK YOU/PAIEMEN T MERCI,,10.0,credit
2023-12-01,"APPLE.COM/BILL 866-712-7753, ON",7.9,,credit
2023-11-30,"MTO E-COMMERCE NORTH YORK, ON",91.25,,credit
2023-11-20,"METROLINX - GO TRANSIT TORONTO, ON",10.0,,credit
2023-11-14,"DOORDASHFRESHBURRIT DOWNTOWN TORO, ON",17.47,,credit
2023-11-09,"DOORDASHOSMOWS DOWNTOWN TORO, ON",23.36,,credit
2023-11-08,"Amazon Channels amazon.ca, BC",,11.29,credit
2023-11-08,"Amazon Channels amazon.ca, BC",11.29,,credit
2023-11-03,"STAPLES STORE #203 OSHAWA, ON",0.63,,credit
2023-11-03,"DOORDASH*OSMOWS DOWNTOWN TORO, ON",31.74,,credit
2023-11-02,"DOORDASH*NO FRILLS DOWNTOWN TORO, ON",20.36,,credit
2023-11-02,PAYMENT THANK YOU/PAIEMEN T MERCI,,300.0,credit
2023-11-01,"TIM HORTONS #2478 416-738-9379, ON",8.67,,credit
2023-10-31,"DOORDASH*VAZHIYORAM DOWNTOWN TORO, ON",11.95,,credit
2023-10-30,"TIM HORTONS #1942 OSHAWA, ON",2.61,,credit
2023-10-30,"KERALA CUISINE NIAGARA FALLS, ON",14.8,,credit
2023-10-30,"#362 SPORT CHEK OSHAWA, ON",,73.44,credit
2023-10-30,"MTO DRIVETEST D36 OSHAWA, ON",159.75,,credit
2023-10-30,PAYMENT THANK YOU/PAIEMEN T MERCI,,14.05,credit
2023-10-30,"#362 SPORT CHEK OSHAWA, ON",113.55,,credit
2023-10-27,"TIM HORTONS #2478 416-738-9379, ON",2.93,,credit
2023-10-27,"TACO BELL OSHAWA, ON",6.64,,credit
2023-10-27,"WEST 49 #1161 OSHAWA, ON",92.07,,credit
2023-10-27,"DOORDASH*OSMOWS DOWNTOWN TORO, ON",14.82,,credit
2023-10-27,"WAL-MART SUPERCENTER#3113 WHITBY, ON",16.94,,credit
2023-10-26,"TIM HORTONS #2616 WHITBY, ON",2.97,,credit
2023-10-26,"BOOSTER JUICE #496 OSHAWA, ON",6.32,,credit
2023-10-25,"Amazon.ca*9547U84C3 AMAZON.CA, ON",83.3,,credit
2023-10-25,"WAL-MART SUPERCENTER#3113 WHITBY, ON",10.39,,credit
2023-10-25,"LCBO/RAO #0090 OSHAWA, ON",31.95,,credit
2023-10-24,"STAPLES STORE #203 OSHAWA, ON",2.08,,credit
2023-10-24,"TIM HORTONS #1696 OSHAWA, ON",2.61,,credit
2023-10-24,"GREAT CLIPS 3985 OSHAWA, ON",19.2,,credit
2023-10-24,"TIM HORTONS #1696 OSHAWA, ON",2.97,,credit
2023-10-23,"Shaaz Scarborough, ON",63.33,,credit
2023-10-23,"TIM HORTONS #2616 WHITBY, ON",3.97,,credit
2023-10-23,"TIM HORTONS #1696 OSHAWA, ON",2.61,,credit
2023-10-23,"WAL-MART SUPERCENTER#3113 WHITBY, ON",5.01,,credit
2023-10-20,"TIM HORTONS #1942 OSHAWA, ON",6.02,,credit
2023-10-20,"TIM HORTONS #1696 OSHAWA, ON",2.61,,credit
2023-10-20,"WAL-MART SUPERCENTER#3113 WHITBY, ON",4.81,,credit
2023-10-20,"WAL-MART SUPERCENTER#3113 WHITBY, ON",4.97,,credit
2023-10-20,"FRESHCO 9585 OSHAWA, ON",9.95,,credit
2023-10-19,"TIM HORTONS #2478 OSHAWA, ON",5.67,,credit
2023-10-18,"WAL-MART SUPERCENTER#3113 WHITBY, ON",3.41,,credit
2023-10-18,"WAL-MART SUPERCENTER#3113 WHITBY, ON",16.98,,credit
2023-10-17,"TIM HORTONS #2478 OSHAWA, ON",2.97,,credit
2023-10-17,PAYMENT THANK YOU/PAIEMEN T MERCI,,800.0,credit
2023-10-16,"UBER* EATS TORONTO, ON",26.27,,credit
2023-10-12,PAYMENT THANK YOU/PAIEMEN T MERCI,,17.5,credit
2023-10-06,"TIM HORTONS #2478 OSHAWA, ON",2.97,,credit
2023-09-25,"UBER* EATS TORONTO, ON",19.47,,credit
2023-09-18,"ADA*VENDING MACHINE- C MARKHAM, ON",4.25,,credit
2023-09-18,"FRESHCO 9585 OSHAWA, ON",24.69,,credit
2023-09-14,"DC REGISTRATION 905-721-2000, ON",1450.0,,credit
2023-09-14,PAYMENT THANK YOU/PAIEMEN T MERCI,,800.0,credit
2023-09-14,CASHBACK/REMISE EN ARGENT,,37.71,credit
2023-09-14,"ADA*VENDING MACHINE- C MARKHAM, ON",4.25,,credit
2023-09-13,"UOIT THE SMOOTHIE BAR OSHAWA, ON",10.16,,credit
2023-09-13,"TIM HORTONS #2478 OSHAWA, ON",7.09,,credit
2023-09-13,"FRESHCO 9585 OSHAWA, ON",10.96,,credit
2023-09-12,"TIM HORTONS #2478 OSHAWA, ON",5.12,,credit
2023-09-11,"DOLLARAMA # 278 OSHAWA, ON",9.28,,credit
2023-09-11,"ADA*VENDING MACHINE- C MARKHAM, ON",4.25,,credit
2023-09-08,"ADA*VENDING MACHINE- C MARKHAM, ON",4.25,,credit
2023-09-06,"FRESHCO 9585 OSHAWA, ON",28.76,,credit
2023-09-05,"ADA*VENDING MACHINE- C MARKHAM, ON",4.25,,credit
2023-09-01,PAYMENT THANK YOU/PAIEMEN T MERCI,,80.09,credit
2023-08-31,"FIRST CHOICE HAIRCUTTERS# OSHAWA, ON",27.69,,credit
2023-08-31,"CAN SODA SNACK VENDING TORONTO, BC",5.5,,credit
2023-08-31,PAYMENT THANK YOU/PAIEMEN T MERCI,,10.0,credit
2023-08-30,"TIM HORTONS #1696 OSHAWA, ON",3.66,,credit
2023-08-29,"UBER CANADA/UBEREATS TORONTO, ON",4.48,,credit
2023-08-28,"OSMOWS SIMCOE ST OSHAWA, ON",27.1,,credit
2023-08-21,"NADIM'S NO FRILLS #391 OSHAWA, ON",5.53,,credit
2023-08-21,"COFFEE CULTURE CAFE & EAT WHITBY, ON",2.51,,credit
2023-08-18,"OSMOWS SIMCOE ST OSHAWA, ON",17.26,,credit
2023-08-16,"IC* INSTACART HALIFAX MID-H, NS",17.0,,credit
2023-08-16,"IC* INSTACART HALIFAX MID-H, NS",3.09,,credit
2023-08-11,"ADA*VENDING MACHINE- C MARKHAM, ON",3.75,,credit
2023-08-10,"TIM HORTONS #6349 WHITBY, ON",2.61,,credit
2023-08-10,"CAN SODA SNACK VENDING TORONTO, BC",4.25,,credit
2023-08-10,"MISTER BARGAIN OSHAWA, ON",5.64,,credit
2023-08-08,"METROLINX - GO TRANSIT TORONTO, ON",15.0,,credit
2023-08-08,"UBER CANADA/UBERPASS TORONTO, ON",11.29,,credit
2023-08-08,"THE BREW CENTRE BRAMPTON, ON",2.95,,credit
2023-08-08,"ADA*VENDING MACHINE- C MARKHAM, ON",3.25,,credit
2023-08-08,"TIM HORTONS #1696 OSHAWA, ON",5.96,,credit
2023-08-01,PAYMENT THANK YOU/PAIEMEN T MERCI,,214.31,credit
2023-07-31,PAYMENT THANK YOU/PAIEMEN T MERCI,,10.0,credit
2023-07-28,"ADA*VENDING MACHINE- C MARKHAM, ON",4.25,,credit
2023-07-26,"CAN SODA SNACK VENDING TORONTO, BC",4.0,,credit
2023-07-24,"APPLE.COM/BILL 866-712-7753, ON",19.2,,credit
2023-07-21,"CAN SODA SNACK VENDING TORONTO, BC",4.25,,credit
2023-07-19,"ADA*VENDING MACHINE- C MARKHAM, ON",0.75,,credit
2023-07-18,"WENDYS 6662 OSHAWA, ON",11.16,,credit
2023-07-17,"WINNERS 309 OSHAWA, ON",59.84,,credit
2023-07-17,"ADA*VENDING MACHINE- C MARKHAM, ON",4.25,,credit
2023-07-17,"ADA*VENDING MACHINE- C MARKHAM, ON",3.5,,credit
2023-07-14,"Amazon.ca Prime Member amazon.ca/pri, BC",,11.29,credit
2023-07-14,"OTU MAREK CAFE OSHAWA, ON",7.0,,credit
2023-07-14,"CAN SODA SNACK VENDING TORONTO, BC",3.25,,credit
2023-07-14,"ADA*VENDING MACHINE- C MARKHAM, ON",1.15,,credit
2023-07-13,"TIM HORTONS #1696 OSHAWA, ON",2.3,,credit
2023-07-13,"Amazon.ca*9I0Y04K03 AMAZON.CA, ON",5.41,,credit
2023-07-13,"Amazon.ca*G59D60IM3 AMAZON.CA, ON",17.79,,credit
2023-07-13,"Amazon.ca Prime Member amazon.ca/pri, BC",11.29,,credit
2023-07-05,"FIRST CHOICE HAIRCUTTERS# OSHAWA, ON",27.69,,credit
2023-06-30,"OTU MAREK CAFE OSHAWA, ON",8.55,,credit
2023-06-30,"OTU MAREK CAFE OSHAWA, ON",7.9,,credit
2023-06-28,PAYMENT THANK YOU/PAIEMEN T MERCI,,310.33,credit
2023-06-27,"CHURCHS CHICKEN 11573 OSHAWA, ON",14.44,,credit
2023-06-26,"DOLLARAMA #0967 OSHAWA, ON",7.63,,credit
2023-06-23,"TIM HORTONS #1696 OSHAWA, ON",3.76,,credit
2023-06-21,"Subway 23700 Oshawa, ON",8.13,,credit
2023-06-21,"TIM HORTONS #1696 OSHAWA, ON",1.67,,credit
2023-06-21,"ESSO CIRCLE K OSHAWA, ON",6.39,,credit
2023-06-20,"FRESHCO #9673 OSHAWA, ON",4.27,,credit
2023-06-12,"ULTRAMAR #32716 OSHAWA, ON",7.09,,credit
2023-06-07,"TIM HORTONS #1696 OSHAWA, ON",4.18,,credit
2023-06-02,"TIM HORTONS #2478 OSHAWA, ON",10.16,,credit
2023-05-31,"ROGERS ******8481 888-764-3771, ON",109.61,,credit
2023-05-31,"SHELL C07079 OSHAWA, ON",4.51,,credit
2023-05-30,"NEURONCA* TEMPHOLD-KQ VANCOUVER, BC",3.67,,credit
2023-05-30,"JDSF Retail Canada In Vancouver, BC",129.95,,credit
2023-05-30,PAYMENT THANK YOU/PAIEMEN T MERCI,,243.79,credit
2023-05-29,"BOOSTER JUICE #496 OSHAWA, ON",9.03,,credit
2023-05-26,"TIM HORTONS #2478 OSHAWA, ON",7.91,,credit
2023-05-23,"NEURONCA* TEMPHOLD-RK VANCOUVER, BC",5.01,,credit
2023-05-23,"adidas 2014 Halton Hills Halton Hills, ON",21.7,,credit
2023-05-23,"Columbia 493 Halton Hills, ON",28.24,,credit
2023-05-23,"NEW LOCOMOTION MISSISSAUGA, ON",69.6,,credit
2023-05-23,"NEW LOCOMOTION MISSISSAUGA, ON",8.0,,credit
2023-05-23,"REXALL POST OFFICE #1504 OSHAWA, ON",20.45,,credit
2023-05-19,"TIM HORTONS #2478 OSHAWA, ON",2.12,,credit
2023-05-18,"TIM HORTONS #1942 OSHAWA, ON",9.92,,credit
2023-05-15,"GREAT CLIPS 3985 OSHAWA, ON",38.4,,credit
2023-05-15,"MCDONALD'S #7403 Q04 OSHAWA, ON",2.93,,credit
2023-05-12,"LOVELL DRUGS OSHAWA, ON",4.96,,credit
2023-05-12,"TIM HORTONS #2478 OSHAWA, ON",8.8,,credit
2023-05-09,"TIM HORTONS #1942 OSHAWA, ON",4.19,,credit
2023-05-09,"TIM HORTONS #1942 OSHAWA, ON",2.99,,credit
2023-05-05,"TIM HORTONS #2478 OSHAWA, ON",11.05,,credit
2023-05-05,"TIM HORTONS #2478 OSHAWA, ON",3.76,,credit
2023-05-04,"TIM HORTONS #6475 OSHAWA, ON",1.67,,credit
